filename,shots,backend,precision,threshold,duration_s,status
0071a13b.qasm,1024,scarlet_quantum_rings,single,16,1.8681458,success
0071a13b.qasm,1024,scarlet_quantum_rings,single,64,11.326892,success
0071a13b.qasm,1024,scarlet_quantum_rings,single,512,464.3260995,success
00c20ece.qasm,1024,scarlet_quantum_rings,single,16,161.7787413,success
00c20ece.qasm,1024,scarlet_quantum_rings,single,64,167.9989433,success
00c20ece.qasm,1024,scarlet_quantum_rings,single,512,161.3895199,success
03042ac9.qasm,1024,scarlet_quantum_rings,single,16,1.8659897,success
03042ac9.qasm,1024,scarlet_quantum_rings,single,64,11.3251936,success
03042ac9.qasm,1024,scarlet_quantum_rings,single,512,463.7429635,success
03934028.qasm,1024,scarlet_quantum_rings,single,16,1794.6356797,success
03934028.qasm,1024,scarlet_quantum_rings,single,64,1229.5821332,success
03934028.qasm,1024,scarlet_quantum_rings,single,512,,timeout
03ee478e.qasm,1024,scarlet_quantum_rings,single,16,0.1773445,success
03ee478e.qasm,1024,scarlet_quantum_rings,single,64,1.1159592,success
03ee478e.qasm,1024,scarlet_quantum_rings,single,512,0.1874653,success
04276362.qasm,1024,scarlet_quantum_rings,single,16,0.1799067,success
04276362.qasm,1024,scarlet_quantum_rings,single,64,0.2163521,success
0491d461.qasm,1024,scarlet_quantum_rings,single,16,0.5425538,success
0491d461.qasm,1024,scarlet_quantum_rings,single,64,1.3414259,success
0491d461.qasm,1024,scarlet_quantum_rings,single,512,3.4521178,success
0525d9ee.qasm,1024,scarlet_quantum_rings,single,16,0.5416311,success
0525d9ee.qasm,1024,scarlet_quantum_rings,single,64,1.3424445,success
0525d9ee.qasm,1024,scarlet_quantum_rings,single,512,3.4716296,success
0534bf07.qasm,1024,scarlet_quantum_rings,single,16,,timeout
0534bf07.qasm,1024,scarlet_quantum_rings,single,64,1767.6446073,success
0534bf07.qasm,1024,scarlet_quantum_rings,single,512,,timeout
055dc894.qasm,1024,scarlet_quantum_rings,single,16,4.6650311,success
055dc894.qasm,1024,scarlet_quantum_rings,single,64,3.8863319,success
055dc894.qasm,1024,scarlet_quantum_rings,single,512,1383.5908083,success
056c2b99.qasm,1024,scarlet_quantum_rings,single,16,0.5823536,success
056c2b99.qasm,1024,scarlet_quantum_rings,single,64,0.4523345,success
056c2b99.qasm,1024,scarlet_quantum_rings,single,512,0.4509034,success
