source,time,latitude,longitude,depth_km,magnitude,station_id,parameter,value
geomagnetic,1990-01-01 00:00:00.000,,,,,,ap,16.0
geomagnetic,1990-01-01 00:00:00.000,,,,,,kp,3.083375
solar,1990-01-01 00:00:00.000,,,,,,f107_observed,216.5
solar,1990-01-01 00:00:00.000,,,,,,sunspot_number,239.0
tidal_ephemeris,1990-01-01 00:00:00.000,,,,,,tidal_potential,0.20132
tidal_ephemeris,1990-01-01 00:00:00.000,,,,,,lunar_phase,0.13127
geomagnetic,1990-01-02 00:00:00.000,,,,,,ap,17.0
geomagnetic,1990-01-02 00:00:00.000,,,,,,kp,2.9998750000000003
solar,1990-01-02 00:00:00.000,,,,,,f107_observed,215.7
solar,1990-01-02 00:00:00.000,,,,,,sunspot_number,226.0
tidal_ephemeris,1990-01-02 00:00:00.000,,,,,,tidal_potential,0.40423
tidal_ephemeris,1990-01-02 00:00:00.000,,,,,,lunar_phase,0.16236
seismic,1990-01-02 20:17:24.600,35.093,-82.969,5.7,2.1,,,
geomagnetic,1990-01-03 00:00:00.000,,,,,,ap,15.0
geomagnetic,1990-01-03 00:00:00.000,,,,,,kp,2.6248750000000003
solar,1990-01-03 00:00:00.000,,,,,,f107_observed,199.1
solar,1990-01-03 00:00:00.000,,,,,,sunspot_number,213.0
tidal_ephemeris,1990-01-03 00:00:00.000,,,,,,tidal_potential,0.6006
tidal_ephemeris,1990-01-03 00:00:00.000,,,,,,lunar_phase,0.19318
seismic,1990-01-03 04:25:14.900,37.024,-81.817,3.5,2.0,,,
geomagnetic,1990-01-04 00:00:00.000,,,,,,ap,12.0
geomagnetic,1990-01-04 00:00:00.000,,,,,,kp,2.458375
solar,1990-01-04 00:00:00.000,,,,,,f107_observed,195.6
solar,1990-01-04 00:00:00.000,,,,,,sunspot_number,223.0
tidal_ephemeris,1990-01-04 00:00:00.000,,,,,,tidal_potential,0.78629
tidal_ephemeris,1990-01-04 00:00:00.000,,,,,,lunar_phase,0.22451
geomagnetic,1990-01-05 00:00:00.000,,,,,,ap,17.0
geomagnetic,1990-01-05 00:00:00.000,,,,,,kp,3.1251249999999997
solar,1990-01-05 00:00:00.000,,,,,,f107_observed,193.5
solar,1990-01-05 00:00:00.000,,,,,,sunspot_number,210.0
tidal_ephemeris,1990-01-05 00:00:00.000,,,,,,tidal_potential,0.9533
tidal_ephemeris,1990-01-05 00:00:00.000,,,,,,lunar_phase,0.25718
seismic,1990-01-05 17:40:49.150,36.469,-89.535,2.6,1.5,,,
geomagnetic,1990-01-06 00:00:00.000,,,,,,ap,7.0
geomagnetic,1990-01-06 00:00:00.000,,,,,,kp,1.83325
solar,1990-01-06 00:00:00.000,,,,,,f107_observed,187.0
solar,1990-01-06 00:00:00.000,,,,,,sunspot_number,185.0
tidal_ephemeris,1990-01-06 00:00:00.000,,,,,,tidal_potential,1.0889
tidal_ephemeris,1990-01-06 00:00:00.000,,,,,,lunar_phase,0.29197
seismic,1990-01-06 21:40:10.500,36.49,-89.55,5.8,1.8,,,
geomagnetic,1990-01-07 00:00:00.000,,,,,,ap,6.0
geomagnetic,1990-01-07 00:00:00.000,,,,,,kp,1.416625
solar,1990-01-07 00:00:00.000,,,,,,f107_observed,183.2
solar,1990-01-07 00:00:00.000,,,,,,sunspot_number,165.0
tidal_ephemeris,1990-01-07 00:00:00.000,,,,,,tidal_potential,1.17643
tidal_ephemeris,1990-01-07 00:00:00.000,,,,,,lunar_phase,0.32938
seismic,1990-01-07 16:13:16.700,32.968,-80.218,5.4,2.1,,,
geomagnetic,1990-01-08 00:00:00.000,,,,,,ap,11.0
geomagnetic,1990-01-08 00:00:00.000,,,,,,kp,2.166625
solar,1990-01-08 00:00:00.000,,,,,,f107_observed,176.8
solar,1990-01-08 00:00:00.000,,,,,,sunspot_number,177.0
tidal_ephemeris,1990-01-08 00:00:00.000,,,,,,tidal_potential,1.19813
tidal_ephemeris,1990-01-08 00:00:00.000,,,,,,lunar_phase,0.36935
seismic,1990-01-08 06:43:17.000,38.71,-87.96,15.0,2.3,,,
geomagnetic,1990-01-09 00:00:00.000,,,,,,ap,14.0
geomagnetic,1990-01-09 00:00:00.000,,,,,,kp,2.625
solar,1990-01-09 00:00:00.000,,,,,,f107_observed,166.0
solar,1990-01-09 00:00:00.000,,,,,,sunspot_number,160.0
tidal_ephemeris,1990-01-09 00:00:00.000,,,,,,tidal_potential,1.13972
tidal_ephemeris,1990-01-09 00:00:00.000,,,,,,lunar_phase,0.41103
seismic,1990-01-09 10:53:31.560,36.109,-89.263,7.0,2.5,,,
geomagnetic,1990-01-10 00:00:00.000,,,,,,ap,16.0
geomagnetic,1990-01-10 00:00:00.000,,,,,,kp,3.041625
solar,1990-01-10 00:00:00.000,,,,,,f107_observed,172.9
solar,1990-01-10 00:00:00.000,,,,,,sunspot_number,172.0
tidal_ephemeris,1990-01-10 00:00:00.000,,,,,,tidal_potential,0.99538
tidal_ephemeris,1990-01-10 00:00:00.000,,,,,,lunar_phase,0.45284
geomagnetic,1990-01-11 00:00:00.000,,,,,,ap,18.0
geomagnetic,1990-01-11 00:00:00.000,,,,,,kp,3.333375
solar,1990-01-11 00:00:00.000,,,,,,f107_observed,175.2
solar,1990-01-11 00:00:00.000,,,,,,sunspot_number,210.0
tidal_ephemeris,1990-01-11 00:00:00.000,,,,,,tidal_potential,0.77108
tidal_ephemeris,1990-01-11 00:00:00.000,,,,,,lunar_phase,0.49308
seismic,1990-01-11 12:18:11.200,36.46,-89.55,6.0,2.1,,,
seismic,1990-01-11 12:19:11.720,36.491,-89.664,13.3,1.5,,,
geomagnetic,1990-01-12 00:00:00.000,,,,,,ap,15.0
geomagnetic,1990-01-12 00:00:00.000,,,,,,kp,3.0
solar,1990-01-12 00:00:00.000,,,,,,f107_observed,175.7
solar,1990-01-12 00:00:00.000,,,,,,sunspot_number,221.0
tidal_ephemeris,1990-01-12 00:00:00.000,,,,,,tidal_potential,0.48454
tidal_ephemeris,1990-01-12 00:00:00.000,,,,,,lunar_phase,0.53058
geomagnetic,1990-01-13 00:00:00.000,,,,,,ap,9.0
geomagnetic,1990-01-13 00:00:00.000,,,,,,kp,2.20825
solar,1990-01-13 00:00:00.000,,,,,,f107_observed,172.6
solar,1990-01-13 00:00:00.000,,,,,,sunspot_number,230.0
tidal_ephemeris,1990-01-13 00:00:00.000,,,,,,tidal_potential,0.16167
tidal_ephemeris,1990-01-13 00:00:00.000,,,,,,lunar_phase,0.56497
seismic,1990-01-13 01:55:58.030,35.782,-89.329,19.4,1.7,,,
seismic,1990-01-13 20:47:55.330,39.425,-76.881,5.0,2.6,,,
geomagnetic,1990-01-14 00:00:00.000,,,,,,ap,8.0
geomagnetic,1990-01-14 00:00:00.000,,,,,,kp,1.833375
solar,1990-01-14 00:00:00.000,,,,,,f107_observed,171.5
solar,1990-01-14 00:00:00.000,,,,,,sunspot_number,189.0
tidal_ephemeris,1990-01-14 00:00:00.000,,,,,,tidal_potential,-0.16881
tidal_ephemeris,1990-01-14 00:00:00.000,,,,,,lunar_phase,0.59654
seismic,1990-01-14 14:18:08.190,36.189,-89.511,8.1,1.5,,,
geomagnetic,1990-01-15 00:00:00.000,,,,,,ap,9.0
geomagnetic,1990-01-15 00:00:00.000,,,,,,kp,2.1251249999999997
solar,1990-01-15 00:00:00.000,,,,,,f107_observed,191.1
solar,1990-01-15 00:00:00.000,,,,,,sunspot_number,201.0
tidal_ephemeris,1990-01-15 00:00:00.000,,,,,,tidal_potential,-0.48038
tidal_ephemeris,1990-01-15 00:00:00.000,,,,,,lunar_phase,0.62592
seismic,1990-01-15 06:03:53.170,36.254,-89.581,2.7,1.6,,,
geomagnetic,1990-01-16 00:00:00.000,,,,,,ap,10.0
geomagnetic,1990-01-16 00:00:00.000,,,,,,kp,2.083375
solar,1990-01-16 00:00:00.000,,,,,,f107_observed,193.8
solar,1990-01-16 00:00:00.000,,,,,,sunspot_number,195.0
tidal_ephemeris,1990-01-16 00:00:00.000,,,,,,tidal_potential,-0.75178
tidal_ephemeris,1990-01-16 00:00:00.000,,,,,,lunar_phase,0.65386
geomagnetic,1990-01-17 00:00:00.000,,,,,,ap,9.0
geomagnetic,1990-01-17 00:00:00.000,,,,,,kp,2.1251249999999997
solar,1990-01-17 00:00:00.000,,,,,,f107_observed,193.0
solar,1990-01-17 00:00:00.000,,,,,,sunspot_number,210.0
tidal_ephemeris,1990-01-17 00:00:00.000,,,,,,tidal_potential,-0.96795
tidal_ephemeris,1990-01-17 00:00:00.000,,,,,,lunar_phase,0.68114
seismic,1990-01-17 04:50:02.210,36.44,-89.482,7.7,1.4,,,
